target,gpu_count,final_stage_updates,selected_checkpoint_update,online_gate_met,training_wall_seconds,training_wall_minutes,training_gpu_hours,01-chemistry-percentile-warmup_update_loop_seconds,02-binary-elite-transition_update_loop_seconds,03-robust-region-concentration_update_loop_seconds,04-fast-mode-robustness-refinement_update_loop_seconds
1err,4,8,7,True,8293.673273459077,138.22788789098462,9.215192526065639,1176.8452778461506,2571.596963826043,3712.2485332158976,316.23844974604435
4ag8,4,4,4,True,7126.406927722157,118.77344879536928,7.918229919691285,1269.7052805909188,2759.5914933590684,2515.4227410899475,216.9955059759086
5l2s,4,7,7,True,7412.85660670104,123.547610111684,8.236507340778935,1154.199953574338,2509.9100744735915,2767.9501668710727,551.8254006667994
6d6t,4,5,5,True,6311.427263771184,105.1904543961864,7.012696959745759,1156.0798276539426,2354.1669973392272,2199.563239625888,157.7978081968613
6iiu,4,13,12,True,8266.845522363903,137.78075870606506,9.185383913737668,1266.1252831518068,2589.0493306039134,3328.0761604150175,525.3338711280376
